Section,i,I,3,ae,^,a,c,o,U,u,3',l,m,n,ny,p,t,k
44,,,,,1.17,5.03,0.88,0.14,0.22,0.77,1.2,4.99,0,1.17,1.41,0,1.43,1.5
45,,,,,,,,,,0.41,,4.57,,,,,,
46,,,,,,,,,,0.86,,3.7,,,,,,
n.c.,,,,,,,,,,,,,1.04,1.26,1.09,,,
delta,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285,0.396285
length ,16.67,16.67,15.88,16.67,17.46,17.46,17.46,17.46,17.46,18.25,17.46,18.25,17.46,17.46,17.46,17.46,17.46,17.46
,,,,,,,,,,,,,,,,,,
f1,333,518,624,692,707,754,654,540,541,389,500,348,,,,,,
f1sd,,,,,,,,,,,,,,,,,,
f2,2332,2004,1853,1873,1161,1195,944,922,1045,987,1357,1250,,,,,,
f2sd,,,,,,,,,,,,,,,,,,
f3,2986,2605,2475,2463,2591,2685,2739,2584,2568,2299,2124,2785,,,,,,
f3sd,,,,,,,,,,,,,,,,,,
